n,tiempo[ms]
10000,94745
20000,377084
30000,852516
40000,1.5109e+06
50000,2.35482e+06
60000,3.39214e+06
70000,4.64023e+06
80000,6.01591e+06
90000,7.60605e+06
100000,9.46596e+06
