n,tiempo[ms]
10000,94476
20000,376602
30000,869178
40000,1.52931e+06
50000,2.35565e+06
60000,3.38442e+06
70000,5.04091e+06
80000,6.05362e+06
90000,7.6573e+06
100000,9.43524e+06
